Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
côn	616	37.6234	553	0.1374	132	10.8599	125	0.0149	681	38.7704	561	0.1972
chủng	616	37.6234	549	0.1364	58	4.7718	57	0.0068	756	43.0402	657	0.2310
hoại	613	37.4402	574	0.1426	120	9.8727	117	0.0140	455	25.9038	436	0.1533
rảnh	612	37.3791	597	0.1483	2200	180.9988	2139	0.2552	266	15.1438	259	0.0911
chuối	612	37.3791	444	0.1103	688	56.6033	637	0.0760	405	23.0573	311	0.1093
bóc	612	37.3791	534	0.1327	223	18.3467	215	0.0257	293	16.6809	270	0.0949
trá	611	37.3181	525	0.1304	195	16.0431	192	0.0229	100	5.6932	97	0.0341
thuở	611	37.3181	592	0.1471	75	6.1704	73	0.0087	247	14.0621	241	0.0847
thét	610	37.2570	583	0.1448	470	38.6679	467	0.0557	116	6.6041	115	0.0404
lồ	610	37.2570	584	0.1451	83	6.8286	76	0.0091	915	52.0924	871	0.3062
hòn	608	37.1348	503	0.1250	49	4.0313	45	0.0054	580	33.0203	469	0.1649
trễ	607	37.0738	562	0.1396	646	53.1478	628	0.0749	439	24.9929	410	0.1442
khống	606	37.0127	565	0.1404	54	4.4427	53	0.0063	664	37.8025	637	0.2240
kiềm	605	36.9516	579	0.1438	331	27.2321	307	0.0366	660	37.5748	626	0.2201
he	605	36.9516	349	0.0867	3383	278.3268	2191	0.2614	80	4.5545	56	0.0197
rớt	604	36.8905	567	0.1409	815	67.0518	776	0.0926	344	19.5844	323	0.1136
nhãn	603	36.8294	558	0.1386	118	9.7081	108	0.0129	1191	67.8055	967	0.3400
o	602	36.7684	453	0.1125	16731	1376.4961	13359	1.5940	507	28.8643	419	0.1473
bấm	602	36.7684	533	0.1324	535	44.0156	493	0.0588	540	30.7430	498	0.1751
sửng	601	36.7073	592	0.1471	16	1.3164	16	0.0019	116	6.6041	113	0.0397
điền	600	36.6462	519	0.1289	168	13.8217	158	0.0189	792	45.0898	640	0.2250
thẻ	599	36.5851	481	0.1195	671	55.2046	609	0.0727	2146	122.1751	1423	0.5003
tháp	599	36.5851	488	0.1212	63	5.1831	62	0.0074	1348	76.7437	1008	0.3544
nộp	598	36.5241	496	0.1232	643	52.9010	604	0.0721	2026	115.3433	1635	0.5749
khoát	598	36.5241	565	0.1404	48	3.9491	46	0.0055	226	12.8665	222	0.0781
hưu	598	36.5241	553	0.1374	55	4.5250	53	0.0063	614	34.9560	528	0.1856
thải	597	36.4630	480	0.1193	52	4.2782	49	0.0058	1889	107.5437	1372	0.4824
quấn	597	36.4630	575	0.1429	165	13.5749	158	0.0189	228	12.9804	203	0.0714
mĩ	597	36.4630	519	0.1289	490	40.3134	468	0.0558	64	3.6436	61	0.0214
kiệm	597	36.4630	510	0.1267	430	35.3770	405	0.0483	1873	106.6328	1578	0.5548
gáy	597	36.4630	455	0.1130	120	9.8727	117	0.0140	171	9.7353	151	0.0531
chà	597	36.4630	519	0.1289	443	36.4466	399	0.0476	157	8.9383	139	0.0489
đòn	596	36.4019	522	0.1297	150	12.3408	144	0.0172	505	28.7504	463	0.1628
trạch	596	36.4019	510	0.1267	15	1.2341	15	0.0018	384	21.8617	293	0.1030
lẽo	596	36.4019	587	0.1458	58	4.7718	58	0.0069	103	5.8639	102	0.0359
nghẹn	595	36.3408	581	0.1443	95	7.8159	90	0.0107	231	13.1512	225	0.0791
náo	594	36.2798	571	0.1419	121	9.9549	119	0.0142	326	18.5597	294	0.1034
nhức	594	36.2798	575	0.1429	935	76.9245	886	0.1057	386	21.9756	360	0.1266
ngỡ	592	36.1576	582	0.1446	145	11.9295	142	0.0169	446	25.3915	441	0.1551
ngoãn	592	36.1576	580	0.1441	151	12.4231	150	0.0179	134	7.6288	131	0.0461
lọc	592	36.1576	523	0.1299	174	14.3154	170	0.0203	931	53.0033	824	0.2897
phiêu	590	36.0354	531	0.1319	103	8.4740	98	0.0117	274	15.5992	266	0.0935
lệch	590	36.0354	531	0.1319	240	19.7453	229	0.0273	1203	68.4886	1098	0.3861
le	590	36.0354	514	0.1277	1154	94.9421	1111	0.1326	406	23.1142	352	0.1238
xám	588	35.9133	537	0.1334	178	14.6445	167	0.0199	324	18.4458	306	0.1076
oa	588	35.9133	415	0.1031	1542	126.8637	774	0.0924	14	0.7970	9	0.0032
ngậm	587	35.8522	558	0.1386	276	22.7071	271	0.0323	391	22.2602	384	0.1350
họng	587	35.8522	559	0.1389	673	55.3692	655	0.0782	435	24.7652	352	0.1238
xào	586	35.7911	489	0.1215	171	14.0685	157	0.0187	257	14.6314	225	0.0791
mao	586	35.7911	417	0.1036	70	5.7591	68	0.0081	64	3.6436	52	0.0183
gò	586	35.7911	554	0.1376	124	10.2018	119	0.0142	701	39.9090	618	0.2173
com	586	35.7911	518	0.1287	1904	156.6463	1761	0.2101	1152	65.5851	956	0.3361
thảy	584	35.6690	572	0.1421	47	3.8668	47	0.0056	96	5.4654	96	0.0338
